博主,ID,URL,Awesome ID,标题,评论量,分享量,点赞量,收藏量,视频发布时间,采集时间,文案内容,话题分类,销售季节,产品名称,产品卖点,产品版型,产品功能,产品使用场景,用户痛点,一句话卖点,拍摄指导
蕉下官方旗舰店,917,https://www.iesdouyin.com/share/video/7414469040686583078/?region=CN&mid=7414468578235140927&u_code=16c2i54ib&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&titleType=title&share_sign=lNUEQgnxTmoQ9cfZ0NiH9z1rV9tAc_pX3YTkViRGbJo-&share_version=0&ts=1735959072&from_aid=6383&from_ssr=1,7.41447E+18,【杨幂推荐】爆款免洗气绒服回归，上新价超划算#遮肉显瘦#今天穿什么#白露至秋意浓#旅游穿搭#蕉下官方旗舰店气绒,1,2,6,0,2024/9/14 20:06,2025/1/4 10:51,蕉下 Beneunder 爆款气绒3.0上新，上新破价仅此一天！官方直播，假一赔四，7天无理由，全场合开下单满350赠零触袖套*1，蕉下正品假一罚十。,好物话题；场景话题；品牌/店铺/达人话题,秋季,蕉下 Beneunder 爆款气绒3.0,免洗、遮肉显瘦、上新破价仅此一天,无具体版型描述,免洗、遮肉显瘦,全场合,想要一件免洗且遮肉显瘦的气绒服,杨幂推荐的爆款免洗气绒服，遮肉显瘦只需一天的超划算上新价！,"{""细节性词汇"":[""无""],""画面性词汇"":[""上新破价仅此一天——画面对应限时标识"",""假一赔四——画面对应赔付保障展示"",""全场合开下单满350赠零触袖套*1——画面对应赠品展示""],""特效性词汇"":[""无""],""强调性词汇"":[""超划算——字体包装/音效包装"",""假一赔四——字体包装/音效包装"",""杨幂推荐——字体包装/音效包装""]}"
蕉下官方旗舰店,918,https://www.iesdouyin.com/share/video/7414469025503120678/?region=CN&mid=7414468983841393417&u_code=16c2i54ib&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&titleType=title&share_sign=d7Sh8M7X4p3zRmQb2Z6Qyl_Vvwfxx7y9niZ4o95PSzE-&share_version=0&ts=1735959072&from_aid=6383&from_ssr=1,7.41447E+18,一件羽绒服的钱，拿来买4件气绒服不香吗？#蕉下官方旗舰店气绒服#反季上新#保暖又好看#中秋国庆动起来,0,1,6,0,2024/9/14 20:06,2025/1/4 10:51,蕉下 Beneunder 爆款气绒3.0上新，上新破价仅此一天! 官方直播假一赔四，7天无理由，全场合下差150，赠零触袖套*1，蕉下正品假一罚十。蕉下 Beneunder 爆款气绒3.0上新，上新破价仅此一天! 官方直播假一赔四，7天无理由，全场合创下150，赠零触袖套*1，蕉下正品假一罚十。蕉下 Beneunder 爆款气绒3.0上新，上新破价仅此一天! 官方直播假一赔四，7天无理由，...,好物话题；品牌/店铺/达人话题,秋季/冬季,蕉下 Beneunder 爆款气绒3.0,保暖、性价比高、时尚外观,修身设计,保暖,日常通勤、假日休闲,花一件羽绒服的钱买多件保暖服的需求,一件羽绒服的钱，买4件气绒服，保暖又好看,"{""细节性词汇"":[""全场合下差150——价格细节展示"",""零触袖套——画面对应袖套的舒适感"",""假一赔四——画面体现诚信保证""],""画面性词汇"":[""保暖又好看——画面对应穿着效果展示"",""中秋国庆动起来——户外活动场景"",""反季上新——惊喜价格展示""],""特效性词汇"":[""保暖——温度变化特效"",""假一赔四——诚信保障特效"",""上新破价——特效标价""],""强调性词汇"":[""爆款——字体包装"",""仅此一天——音效包装"",""正品假一罚十——信用保证包装""]}"
蕉下官方旗舰店,916,https://www.iesdouyin.com/share/video/7414469035141696819/?region=CN&mid=7414469004535958282&u_code=16c2i54ib&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&titleType=title&share_sign=4A94PzKZ7pxZ3KcJIrH6K8c9jDmrMxozvDGZPREfyvE-&share_version=0&ts=1735959072&from_aid=6383&from_ssr=1,7.41447E+18,【杨幂推荐】爆款免洗气绒服回归，上新价超划算#遮肉显瘦#今天穿什么#白露至秋意浓#旅游穿搭#蕉下官方旗舰店气绒,0,3,4,1,2024/9/14 20:06,2025/1/4 10:51,蕉下 Beneunder 爆款气绒3.0上新，上新破价仅此一天! 官方直播，假一赔四，7天无理由，全场合下，150，零触袖套*1，蕉下正品假一罚十。,好物话题；场景话题；品牌/店铺/达人话题,秋季,蕉下 Beneunder 爆款气绒3.0,免洗、遮肉显瘦、杨幂推荐、超划算、假一赔四,遮肉显瘦设计,免洗、保暖,适合全场合，特别是秋季旅游穿搭,寻找免洗、显瘦且价格实惠的秋季外套,上新价超划算的免洗显瘦气绒服，搭配杨幂推荐保证品质！,"{""细节性词汇"":[""零触袖套——画面对应细节展示"",""气绒材质展示——画面对应服装材质特写"",""遮肉设计细节——画面对应服装版型详细展示""],""画面性词汇"":[""旅游穿搭——画面对应旅游场景展示"",""免洗效果测试——画面对应免洗性能展示"",""气绒服秋季穿搭——画面对应秋季户外场景""],""特效性词汇"":[""显瘦效果——特效包装"",""免洗功能——特效包装"",""划算价格——特效包装""],""强调性词汇"":[""爆款——字体包装/音效包装"",""假一赔四——字体包装/音效包装"",""超划算——字体包装/音效包装""]}"
蕉下官方旗舰店,915,https://www.iesdouyin.com/share/video/7414469040090910002/?region=CN&mid=7414468998143888165&u_code=16c2i54ib&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&titleType=title&share_sign=wc_jjC9PsxZbbvUD8q0WzDvqQvLJSZVN5JFU5_.jzjI-&share_version=0&ts=1735959072&from_aid=6383&from_ssr=1,7.41447E+18,【杨幂推荐】爆款免洗气绒服回归，上新价超划算#遮肉显瘦#今天穿什么#白露至秋意浓#旅游穿搭#蕉下官方旗舰店气绒,0,7,2,0,2024/9/14 20:06,2025/1/4 10:51,蕉下 Beneunder 爆款气绒3.0上新，上新破价仅此一天。官方直播，假一赔四，7天无理由。全场合新下150零触袖套*1。蕉下正品假一罚十。,好物话题；场景话题；品牌/店铺/达人话题,秋季,气绒3.0,遮肉显瘦、免洗设计,无信息,遮肉显瘦、易打理,旅游、日常,需要遮肉显瘦且免洗易打理的服装,爆款免洗气绒服，遮肉显瘦，旅游穿搭首选,"{""细节性词汇"":[""无"",""无"",""无""],""画面性词汇"":[""旅游穿搭——画面对应 外出旅游的场景"",""遮肉显瘦——画面对应 模特展示衣服修身效果"",""上新价超划算——画面对应 产品价格展示""],""特效性词汇"":[""无"",""无"",""无""],""强调性词汇"":[""爆款——字体包装/音效包装"",""假一赔四——字体包装/音效包装"",""超划算——字体包装/音效包装""]}"
蕉下官方旗舰店,914,https://www.iesdouyin.com/share/video/7414469037813402906/?region=CN&mid=7414468816777775884&u_code=16c2i54ib&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&titleType=title&share_sign=uJCTlSYWV0rW6VKVl1eFQ4WnqZcQvGbXQ0sFamxpGYU-&share_version=0&ts=1735959072&from_aid=6383&from_ssr=1,7.41447E+18,【杨幂推荐】爆款免洗气绒服回归，上新价超划算#遮肉显瘦#今天穿什么#白露至秋意浓#旅游穿搭#蕉下官方旗舰店气绒,0,2,1,1,2024/9/14 20:06,2025/1/4 10:51,蕉下 Beneunder 爆款气绒3.0上新，上新破价仅此一天! 官方直播假一赔四，7天无理由退换货，全场合 下差150 赠零触袖套*1，蕉下正品假一罚十。,好物话题；场景话题；品牌/店铺/达人话题,秋季,蕉下气绒3.0,免洗、遮肉显瘦、破价优惠,遮肉显瘦设计,保暖、舒适,全场合、旅游穿搭,想要一件遮肉显瘦并且易打理的服装,免洗气绒服既遮肉显瘦，秋季必备旅游穿搭,"{""细节性词汇"":[""零触袖套——画面对应袖套细节展示"",""秋意浓——画面对应秋季风景搭配"",""免洗——画面对应轻松易打理展示""],""画面性词汇"":[""上新仅一天——画面对应产品展示及直播活动"",""裤腿线条——画面对应遮肉显瘦效果"",""旅游穿搭——画面对应旅行场景搭配""],""特效性词汇"":[""假一赔四——特效包装"",""7天无理由退换货——特效包装"",""假一罚十——特效包装""],""强调性词汇"":[""爆款——字体包装/音效包装"",""超划算——字体包装/音效包装"",""遮肉显瘦——字体包装/音效包装""]}"
蕉下官方旗舰店,913,https://www.iesdouyin.com/share/video/7414427992564256027/?region=CN&mid=7414427872611388199&u_code=16c2i54ib&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&titleType=title&share_sign=Ile4l4y_a4Po.uTwZQ78OZkD3ag3VNzdtYEXoglESMc-&share_version=0&ts=1735959072&from_aid=6383&from_ssr=1,7.41443E+18,【杨幂推荐】不愧是幂姐严选，轻巧又暖和！上身巨显个高#遮肉显瘦#梨形身材#去年美拉德今年雅丹风#蕉下官方旗舰店,0,2,12,0,2024/9/14 17:27,2025/1/4 10:51,对不起脚下七龙湖我来晚了你感谢在这个冬装比厚重比加绒的时代脚下竟然把保暖外套做成一片饼干的厚度只有三百四十五克折起来跟一包薯片一样大上身直接打破我对厚衣服的虎背熊腰印象不管是正面还是侧面就一个字瘦它的面料我先让你感受一下肉眼可见的高品质你看我随便揉随便拧完全不变形我再来拿行李箱给你试试压箱底一样的超蓬松秒回弹穿它跟我两千块钱买的那种羊绒大衣差不多那种软糯糯的跟只小咪躺身上似的超级舒服,好物话题；个性话题；品牌/店铺/达人话题,冬季,轻巧保暖外套,"1. 轻巧设计，仅重三百四十五克
2. 折叠后可如一包薯片大小
3. 高品质面料，随意揉捏不变形
4. 超蓬松，类似羊绒大衣的舒适度
5. 瘦身显高效果",修身设计，强调显瘦效果,保暖、舒适,冬季日常穿着,需要一件既轻便易携带又保暖的冬季服装，还能显瘦不觉厚重,严选轻巧又暖和的保暖外套，轻盈如薯片，却能抵御寒冬。,"{""一、细节性词汇"":""随便揉随便拧——画面对应细节展示"",""二、画面性词汇"":""折起来如一包薯片——画面对应轻松折叠展示；压箱底的回弹——画面展示从行李箱展开"",""三、特效性词汇"":""超蓬松秒回弹——特效包装"",""四、强调性词汇"":""显瘦——字体包装/音效包装""}"
蕉下官方旗舰店,912,https://www.iesdouyin.com/share/video/7414401545812413723/?region=CN&mid=7414401424706079500&u_code=16c2i54ib&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&titleType=title&share_sign=YssnlkoUBUSM_WH9eX9iCwhoatDbjG0S9aoeYcUkvEs-&share_version=0&ts=1735959072&from_aid=6383&from_ssr=1,7.4144E+18,【杨幂推荐】幂姐同款气绒科技，这个冬天不怕冷了！！#出游穿搭#秋日省心穿搭look#秋冬新款#在川西,1,20,67,12,2024/9/14 15:45,2025/1/4 10:51,嗨，大家好，我是蕉夏品牌代言人杨幂。快看呀，蜜姐都在穿的汽绒服，轻如羽毛，不管你是什么身材，都轻薄不显臃肿。填充的新升级汽绒颗粒加三点零，媲美百分之九十的高品质黑金羽绒服。防风保暖的同时，又透气透湿。假期出游穿它也活动不束缚，而且防泼水四到五级，一点小雨也不怕寒气侵身。日常户外都能穿，版型不挑人，关键可机洗，很耐脏。趁着天热还没涨价，买到就是赚到。,场景话题；好物话题；日常话题,秋冬,汽绒服,轻如羽毛，轻薄不显臃肿，防风保暖，透气透湿，防泼水，机洗耐脏,版型不挑人,防风/保暖/透湿/防泼水,日常/户外/假期出游,需要一件轻薄不显臃肿且防风保暖的服装,轻如羽毛不显臃肿的汽绒服，防风保暖且透气透湿,"{""细节性词汇"":[""轻如羽毛——画面对应轻盈飘动的服装"",""汽绒颗粒加三点零——画面对应填充物展示"",""可机洗——画面对应洗衣机实拍""],""画面性词汇"":[""防泼水四到五级——画面对应水滴滑落效果"",""户外出游——画面对应户外活动场景"",""不显臃肿——画面对应模特展示""],""特效性词汇"":[""防风保暖——特效风吹效果"",""透气透湿——特效透气流动态效果"",""高品质黑金羽绒服媲美——特效高档次视觉效果""],""强调性词汇"":[""杨幂推荐——字体包装/音效包装"",""买到就是赚到——字体包装/音效包装"",""不怕寒气侵身——字体包装/音效包装""]}"
蕉下官方旗舰店,911,https://www.iesdouyin.com/share/video/7414090509150326056/?region=CN&mid=7414090445875399436&u_code=16c2i54ib&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&titleType=title&share_sign=a_mYbIiOXZWScZZaZekqv0iVhDPuGv675SWrLE._Jig-&share_version=0&ts=1735959072&from_aid=6383&from_ssr=1,7.41409E+18,看看我这一套穿去新疆喀纳斯怎么样！！！#假期出游穿搭#仙女必备#秋冬必备#人生不是轨道而是旷野#蕉下官方旗舰店,0,7,5,2,2024/9/13 19:38,2025/1/4 10:51,沉浸式体验脚下去。 我知道这个，这个应该啊。 买它，买它。 沉浸式试衣，一立领气绒服CL18624。 沉浸式体验，蕉下3.0气绒服，简约立领设计，爬葫芦绗缝设计。 耐穿不跑绒，整衣填充高蓬松clo+3.0，跟800蓬羽绒。 居然有人来问我链接了，真的越看越。 拉链顺滑，居然还防水，真的好好看啊，廓形短款真的很显腿长，拍照嘎嘎出片！ 我要穿它一万年，买它买它。,场景话题；好物话题；品牌/店铺/达人话题,秋冬,蕉下3.0气绒服,高蓬松clo+3.0，800蓬羽绒，防水，显腿长,简约立领设计，廓形短款,耐穿不跑绒，防水,假期出游，拍照,需要一件显腿长且耐穿防水的衣服,沉浸式体验，简约与功能的完美结合,"{""细节性词汇"":[""简约立领设计——画面对应细节展示"",""爬葫芦绗缝设计——画面对应细节展示"",""拉链顺滑——画面对应细节展示""],""画面性词汇"":[""显腿长——画面对应穿着展示"",""防水——画面对应防水性能展示"",""拍照嘎嘎出片——画面对应外景拍摄展示""],""特效性词汇"":[""耐穿不跑绒——特效包装"",""高蓬松clo+3.0——特效包装"",""800蓬羽绒——特效包装""],""强调性词汇"":[""立领设计——字体包装/音效包装"",""廓形短款——字体包装/音效包装"",""买它买它——字体包装/音效包装""]}"
蕉下官方旗舰店,910,https://www.iesdouyin.com/share/video/7413733219016690979/?region=CN&mid=7413733063131171595&u_code=16c2i54ib&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&titleType=title&share_sign=QImm0gMnXf_UGM4tDAyu0b5sYIO55LpMs_9_JucxDJE-&share_version=0&ts=1735959072&from_aid=6383&from_ssr=1,7.41373E+18,赶紧转发给你那个爱吃火锅，又老粗心大意的姐妹，#蕉下官方旗舰店气绒服可太方便了#万物皆可涮火锅#遮肉显瘦#秋季,2,6,7,1,2024/9/12 20:31,2025/1/4 10:51,"赶紧转发给你那个爱吃火锅，又老粗心大意的姐妹，#蕉下气绒服 可太方便了#万物皆可涮火锅 #遮肉显瘦 #秋季新款 #杨幂代言
这是我第一次穿浅色衣服来吃火锅，为什么呀， 你知道我身上穿的是什么吗，棉服啊，才不是呢，我穿的是交叉科技三点零气绒服，它这表层防粘污四到五级，吃火锅不怕酱料沾上衣服，你看这么轻轻一擦就干净了，这么牛，你快给我也买一件，以后吃香的喝辣的，而且它还可以机洗呢，除了比棉服、羽绒服都方便多了，哎呀快把链接发我.",好物话题；个性话题；场景话题,秋季,交叉科技三点零气绒服,防粘污四到五级，轻松去污，机洗方便,遮肉显瘦,防粘污，机洗方便,吃火锅，日常,想要一件防止酱料沾污又方便清洗的衣服,既能吃火锅放肆沾酱，又无忧机洗的气绒服,"{""细节性词汇"":[""防粘污四到五级——画面对应衣物细节展示"",""机洗方便——画面对应机洗过程"",""轻轻一擦就干净——画面对应轻松清洁""],""画面性词汇"":[""浅色衣服来吃火锅——画面对应在火锅店用餐"",""你快给我也买一件——画面对应愉快心情分享"",""吃香的喝辣的——画面对应美食欢聚场景""],""特效性词汇"":[""无""],""强调性词汇"":[""方便——字体包装/音效包装"",""牛——字体包装/音效包装"",""快——字体包装/音效包装""]}"
蕉下官方旗舰店,909,https://www.iesdouyin.com/share/video/7412823563930979603/?region=CN&mid=7412823425074432795&u_code=16c2i54ib&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&titleType=title&share_sign=tGVSb0HOBaHnyrfY346Hg.OzMakU5VUqJ0aEuy6uYfc-&share_version=0&ts=1735959072&from_aid=6383&from_ssr=1,7.41282E+18,【杨幂推荐】超适合小个子的韩系保暖外套，给你们找到了！#显瘦穿搭#女生必看#蕉下官方旗舰店,0,5,16,2,2024/9/10 9:41,2025/1/4 10:51,秋冬穿搭搞不好，稍不留神就陷入臃肿魔咒。太厚会压身高，太薄又不够保暖，穿多了显得又圆又笨重。直到我遇到了蕉下的气绒服，保暖的同时又非常轻便，让我的冬天轻松过成了时装秀场。它其实是采用了特殊的气凝胶材料，将五种高密的科技纤维压缩成一层，保温、蓄热、循环保暖，能把衣服做的轻薄的同时，保暖性能也留住了。,好物话题；个性话题；品牌/店铺/达人话题,秋冬,气绒服,采用特殊气凝胶材料，轻便保暖，保温、蓄热、循环保暖，轻薄设计,无具体版型信息,保暖/轻便/保温/蓄热,日常/时装秀场,小个子女性面临秋冬穿搭显臃肿问题，需要保暖又显瘦的服装,超适合小个子的韩系保暖外套，轻松避免臃肿，成为冬日时尚焦点,"{""细节性词汇"":[],""画面性词汇"":[""轻便——画面对应穿着轻松轻便行走镜头"",""保暖——画面对应户外保暖镜头""],""特效性词汇"":[],""强调性词汇"":[""科技纤维——字体包装/音效包装"",""气凝胶材料——字体包装/音效包装""]}"
蕉下官方旗舰店,908,https://www.iesdouyin.com/share/video/7412445012216040742/?region=CN&mid=7412444985712184075&u_code=16c2i54ib&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&titleType=title&share_sign=rwI_3nHsnJ3kxZ4mobMhXBwU0VeI1ln8NIpuxS1Gjz0-&share_version=0&ts=1735959072&from_aid=6383&from_ssr=1,7.41245E+18,【杨幂推荐】等我们再次见面就该穿长袖了#出游穿搭#今天穿什么#早秋韩系穿搭#蕉下官方旗舰店气绒服#户外旅行装备,0,5,35,4,2024/9/9 18:15,2025/1/4 10:51,“见面穿长袖” 一圆领气绒服CL18524等我们再见面就应该穿长袖了如果有机会的话安全环境下拍福请勿楼仿安全环境下拍福请勿楼仿安全环境下拍福请勿横仿安全环境下拍摄请利横仿,场景话题；好物话题,早秋,圆领气绒服CL18524,轻便透气，适合早秋穿着,修身圆领设计,保暖、轻便,户外旅行、日常穿搭,寻找适合过渡季节且具时尚感的长袖外套,杨幂推荐的早秋出游必备气绒服,"{""细节性词汇"":""无"",""画面性词汇"":""无"",""特效性词汇"":""无"",""强调性词汇"":""无""}"
蕉下官方旗舰店,907,https://www.iesdouyin.com/share/video/7412446070933916954/?region=CN&mid=7412445917414034187&u_code=16c2i54ib&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&titleType=title&share_sign=FzfYMXQkEOrMFX6FH9Px0kmG.PoSZPlf1NHra3nfX00-&share_version=0&ts=1735959072&from_aid=6383&from_ssr=1,7.41245E+18,【杨幂推荐】被人疯狂要链接的旅行保暖搭子，超适合小个子#适合去川西的穿搭单品推荐#旅行怎么穿更出片#,0,3,2,1,2024/9/9 9:16,2025/1/4 10:51,穿着去玩具旅行很上镜拍照嘎嘎出片，出来川西玩几天才知道这种体积小的衣服有多方便，难怪发朋友圈被人狂要链接，脚下的气功夫米色那件是圆领的款式就更随性的感觉。我穿普通的外套，腿在这穿交叉的拉到这，无论是搭配修身的鲨鱼裤还是宽松的牛仔裤，真的都很拉长身材比例，对小个子来说很友好。,场景话题；风格话题,秋冬,旅行保暖搭子，蕉下气绒服,小体积便于旅行携带，适合拍照，拉长身材比例，对小个子友好,随性圆领款式,保暖,旅行，拍照，秋冬季节,需要一件既适合旅行携带且拍照上镜的衣服,超便携小体积的旅行保暖搭子，完美适配小个子拍照需求,"{""细节性词汇"":[""圆领款式——画面对应细节展示"",""小体积——画面对应打包展示"",""延长身材比例——画面对应修身效果展示""],""画面性词汇"":[""川西旅行——画面对应川西风景背景"",""搭配鲨鱼裤——画面对应时尚搭配镜头"",""宽松牛仔裤——画面对应宽松穿搭展示""],""特效性词汇"":[""无""],""强调性词汇"":[""小个子友好——字体包装/音效包装"",""随性——字体包装/音效包装"",""拍照上镜——字体包装/音效包装""]}"
蕉下官方旗舰店,906,https://www.iesdouyin.com/share/video/7412229548764450085/?region=CN&mid=7412229135419869971&u_code=16c2i54ib&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&titleType=title&share_sign=u1q4SciDiXIaVtrwK6gEtsNOBR8vJL5ng.Qy9rkwppk-&share_version=0&ts=1735959072&from_aid=6383&from_ssr=1,7.41223E+18,【杨幂推荐】看上哪个颜色，赶紧来直播间带回家#开学穿搭#韩系穿搭#适合小个子穿的羽绒服#蕉下官方旗舰店气绒服,0,3,9,3,2024/9/8 19:16,2025/1/4 10:51,腰下的细绒服，它的颜色也是做得非常齐全，不管是喜欢高级百搭的常规色系，还是喜欢多放暗一点的颜色都能满足。首先是这个松露棕，非常秋冬的颜色，适合露营一些户外运动，特别适配。而且它有防风防小雨的双防科技，只要不是暴雨，户外遇到一点小风小雨的天气就不用怕。穿上后上身的体感很轻盈，穿着的话就没什么负担感，真的太适合出去玩的时候穿了。这件清水蓝和今年新出的这个紫色，简直就是温柔担当，无论是出去玩还是日常通勤，都是非常合适的选择。,风格话题；好物话题；品牌/店铺/达人话题,秋冬,蕉下气绒服,颜色齐全，适合多种场合，防风防小雨科技，轻盈无负担,适合小个子,防风，防小雨，轻盈,露营，户外运动，日常通勤，外出玩,寻找适合多种场合又实用的羽绒服,轻盈防风的多色气绒服，陪你轻松玩转秋冬,"{""细节性词汇"":[""腰下的细绒服——画面对应服装细节视频"",""防风防小雨——画面对应下小雨时走在户外"",""体感很轻盈——画面对应轻松活动的姿态""],""画面性词汇"":[""适合露营——画面对应户外露营场景"",""出去玩——画面对应休闲外出视频"",""日常通勤——画面对应上班通勤场景""],""特效性词汇"":[""无"",""无"",""无""],""强调性词汇"":[""温柔担当——字体包装/音效包装"",""非常合适的选择——字体包装/音效包装"",""真的太适合——字体包装/音效包装""]}"
蕉下官方旗舰店,905,https://www.iesdouyin.com/share/video/7412211084016323878/?region=CN&mid=7412210960843885323&u_code=16c2i54ib&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&titleType=title&share_sign=zzVa0edLPpExVzQ5IL1ePoCduwB8ima_n4fXJzow9oI-&share_version=0&ts=1735959072&from_aid=6383&from_ssr=1,7.41221E+18,【博主推荐】比棉服轻薄，比羽绒服好打理，性价比起飞的#蕉下官方旗舰店气绒服等你带回家#遮肉显瘦#中秋国庆动起来,0,5,11,2,2024/9/8 18:04,2025/1/4 10:51,你看脚上的球服一件就三百四十五克，啥概念还没有我的手机重。加上上身的体感很轻盈，穿着的话就没什么负担感，真的太适合出去玩的时候穿了。它真的防粘污四到五级，在里面是这个。我上次没拿稳咖啡洒了一身，结果它跟荷叶一样片叶不沾身，穿去吃火锅都不怕。它的颜色也是做的非常齐全，不管是喜欢高级百搭的常规色系，还是喜欢多花安逸点的颜色，都能满足。,好物话题；品牌/店铺/达人话题；个性话题,秋季,蕉下气绒服,1. 轻薄体感，无负担感 2. 优秀的防粘污性能 3. 多种颜色选择满足不同需求,遮肉显瘦设计,轻便/防粘污,日常通勤/旅行/户外活动,想要轻便好打理的服装,比棉服轻薄，比羽绒服好打理，性价比起飞的气绒服,"{""细节性词汇"":[""弧度型横缝工艺——画面对应细节展示""],""画面性词汇"":[""不管你怎么洗啊，都不起皱——画面对应从洗衣机拿出衣服，展示细节"",""出来玩:画面对应 户外镜头展示"",""防泼水：画面对应 服装的防水性能""],""特效性词汇"":[""无""],""强调性词汇"":[""性价比起飞——字体包装/音效包装""]}"
蕉下官方旗舰店,904,https://www.iesdouyin.com/share/video/7412137483963485467/?region=CN&mid=7412137451688430363&u_code=16c2i54ib&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&titleType=title&share_sign=_iEvokqWzpwtQ49kbdiR7VTf1jKj.1ZBT9nRqw9Tcrk-&share_version=0&ts=1735959072&from_aid=6383&from_ssr=1,7.41214E+18,【杨幂推荐】比棉服耐脏，比羽绒服轻薄，秋冬保暖闭眼冲这件#旅游穿搭#秋季旅游出片穿搭大赏#韩系穿搭#,0,6,9,4,2024/9/8 13:19,2025/1/4 10:51,你有没有这样的困扰，吃东西的时候不小心弄脏衣服，别慌，对于污渍我有妙招，其实这是我新买的黑科技细绒外套。污渍会在上面，不会被吸收，像荷叶一样，一抖就掉了。而且布料表面都是这种葫芦横缝设计，上身非常百搭，不跑绒，不钻绒，有了它再也不用担心。你看，完全没有被弄湿呢。,场景话题；风格话题；好物话题,秋冬,黑科技细绒外套,防污、防泼水、轻薄、百搭,葫芦横缝设计,防污、耐脏、防泼水、轻薄,旅游、秋冬外出,衣物容易被弄脏，希望有耐脏且轻薄的外套,比棉服耐脏，比羽绒服轻薄的秋冬保暖神器,"{""细节性词汇"":[""黑科技细绒——画面对应细节展示"",""葫芦横缝设计——画面对应细节展示""],""画面性词汇"":[""污渍一抖就掉——画面对应展示效果"",""不跑绒、不钻绒——画面对应穿着细节"",""完全没有被弄湿——画面对应泼水测试""],""特效性词汇"":[""防污防泼水——特效包装""],""强调性词汇"":[""百搭——字体包装/音效包装"",""轻薄——字体包装/音效包装""]}"
