主题,关键词,飙升指数,关键词id,时间热度键值对
幸福感,幸福感满满的,1576,_Bz-eZIByrdU5mram1f7,"[('20241001', 663.6), ('20241002', 805.7619047619048), ('20241004', 585.4202898550725), ('20241005', 1326.492816091954), ('20241007', 910.4102564102565), ('20241008', 813.5), ('20241009', 1480.9166666666665), ('20241010', 1127.2)]"
幸福感,满满的幸福感,31316,67r-eZIBMXK0YSCQoY8O,"[('20240911', 6108.471953601954), ('20240912', 4223.271813725491), ('20241005', 5581.625757575757), ('20241007', 6488.314102564102), ('20241008', 5872.821356421358), ('20241010', 4804.893891647568)]"
幸福感,不幸福,272445,9hn-eZIBgdoUXASpkh7k,"[('20240905', 4962.427987382986), ('20240906', 8847.23257742258), ('20240907', 8079.197714056284), ('20240908', 8311.578579971227), ('20240909', 6717.868786307938), ('20240910', 6826.450159724794), ('20240914', 9650.51129888275), ('20240915', 8128.609847094437), ('20240916', 6923.591186183464), ('20240918', 6048.812970611763), ('20240921', 7561.885727535928), ('20240922', 7201.177900071797), ('20240923', 8120.884329779343), ('20240927', 12099.847467663914), ('20240930', 7528.4435099606735), ('20241001', 8192.929976994783), ('20241002', 9645.975086582584), ('20241003', 8247.856593798359), ('20241005', 8722.481129809436), ('20241006', 9032.101903369148), ('20241010', 8595.666327630326)]"
幸福感,幸福吧,21632,noP-eZIBUXSdlPDbnNEp,"[('20240915', 6688.471982662733), ('20240916', 5581.0234162184925), ('20240917', 6291.615586729655), ('20240918', 4286.398771486148), ('20240922', 5518.09113584081), ('20240926', 8435.186405070024), ('20241004', 5855.4783601456), ('20241005', 5764.165654943785), ('20241008', 4325.599411933096), ('20241009', 8594.136307878445), ('20241010', 5390.888558201057)]"
幸福感,会幸福,25850,vSn-eZIBYSWNgpKPk4id,"[('20240921', 4290.8841211948975), ('20241003', 9948.982142857143), ('20241010', 6319.016252587991)]"
幸福感,的幸福,7579519,2Qb-eZIBU5A0Yc-eo2qx,"[('20240909', 649219.5800285831), ('20240910', 739665.1262861148), ('20240912', 555353.7750374838), ('20240914', 754197.7089602384), ('20240915', 823105.0586846563), ('20240916', 994488.2918034368), ('20240924', 701665.58306719), ('20240925', 638139.6135852701), ('20240929', 753668.0739183828), ('20240930', 680818.0754762723), ('20241001', 691673.6504320104), ('20241002', 739493.2942058634), ('20241003', 898085.4170996374), ('20241004', 777156.9146245546), ('20241005', 813235.3325456476), ('20241006', 922893.6238837586), ('20241007', 850169.1243399923), ('20241008', 701107.5878677629), ('20241009', 693180.8824855059), ('20241010', 774148.8758720567)]"
幸福感,要幸福,179664,pgb-eZIBU5A0Yc-eo23r,"[('20240906', 25421.469799575043), ('20240908', 23251.103869085804), ('20240920', 6728.358715358716), ('20240922', 7109.2882011779075), ('20240923', 6075.643564213564), ('20240926', 7405.511522378551), ('20240927', 7499.160628419272), ('20240928', 7291.3833871442575), ('20240929', 7611.0909821659825), ('20240930', 8800.800757266317), ('20241002', 9898.565193855275), ('20241004', 8910.292660889558), ('20241008', 8866.064124231607), ('20241009', 6333.895425370304), ('20241010', 9932.466921391304)]"
幸福感,幸福吗,73096,VYP-eZIBUXSdlPDbmsnk,"[('20240911', 7784.4032786511725), ('20240913', 4363.366786087477), ('20240919', 4183.467485982459), ('20240927', 4477.679734671647), ('20240928', 6725.211132697592), ('20241002', 6704.192366405524), ('20241003', 4443.000407020515), ('20241004', 7139.586552748191), ('20241005', 5159.037968975469), ('20241010', 9354.069807953167)]"
幸福感,是幸福,10834890,R9H-eZIBeXyZiYWAnmVJ,"[('20240905', 192358.4771871647), ('20240906', 209598.65661373254), ('20240907', 256716.78600536924), ('20240908', 194147.72281326755), ('20240910', 283735.3484044969), ('20240914', 191373.7051275976), ('20240915', 183306.01882202382), ('20240916', 310042.43257029087), ('20240917', 253907.30518207466), ('20240918', 177565.20858551236), ('20240919', 276912.416027836), ('20240920', 419707.2179419457), ('20240921', 406616.03510030813), ('20240922', 289047.22317560477), ('20240923', 241637.86781752788), ('20241003', 257790.03472303684), ('20241004', 1085865.9746609183), ('20241005', 625840.0281821055), ('20241006', 1084708.0777919395), ('20241007', 346223.8426987983), ('20241008', 747344.981852454), ('20241009', 745561.8116836543), ('20241010', 600956.482085894)]"
幸福感,小幸福,1548700,MC7-eZIBxl_WZLR2mxE_,"[('20240905', 4265.119434730628), ('20240907', 5049.539502684179), ('20240908', 9158.564687886768), ('20240909', 6070.7983642653435), ('20240910', 31845.08205400786), ('20240911', 10941.106473330594), ('20240912', 5580.978375518878), ('20240914', 15492.651720938537), ('20240915', 9317.189222018395), ('20240916', 6706.0135136730705), ('20240917', 14042.93779989114), ('20240918', 21237.91710332965), ('20240920', 7381.928371835698), ('20240923', 57411.35760606653), ('20240925', 8745.83015074926), ('20240927', 7528.702064410684), ('20240930', 6745.624868809352), ('20241001', 9638.25732162574), ('20241003', 13517.740269591091), ('20241004', 18459.85052162599), ('20241005', 13064.772077341759), ('20241006', 14916.616124535938), ('20241007', 15571.876822297309), ('20241008', 12503.112775977981), ('20241009', 7872.79156387848), ('20241010', 8387.684100040564)]"
幸福感,幸福了,3198852,qRz-eZIByrdU5mram1n7,"[('20240905', 4643.172687044923), ('20240906', 6562.7147478843635), ('20240907', 11380.443909364834), ('20240908', 42567.96397300707), ('20240909', 21127.739854510368), ('20240910', 6752.252693554504), ('20240911', 8621.953040429356), ('20240912', 6136.36566315951), ('20240913', 15629.645524278321), ('20240914', 10444.811091900874), ('20240915', 92748.81098730875), ('20240916', 30834.43870330082), ('20240917', 23667.480161276635), ('20240918', 4772.172102546291), ('20240919', 5168.004924432866), ('20240920', 13734.107864357864), ('20240921', 16407.995769329704), ('20240922', 20156.261415351008), ('20240924', 9480.042316017318), ('20240925', 7215.853157464431), ('20240926', 6346.235145109449), ('20240927', 18376.586180650564), ('20240928', 16243.518552123725), ('20240929', 11968.714219780686), ('20240930', 13404.011465589681), ('20241001', 13019.984760983496), ('20241002', 6911.801988978039), ('20241003', 15627.069605385375), ('20241004', 14022.923300384608), ('20241005', 19766.71521665913), ('20241006', 23090.987343356035), ('20241007', 12895.143927957171), ('20241008', 8206.430800085314), ('20241009', 12435.041437865466), ('20241010', 31836.05635119267)]"
幸福感,有幸福,22,D9L-eZIBt-JPqn_2nUqL,"[('20241010', 6510.958730158729)]"
幸福感,幸福路,5957,_Kb-eZIB3eaiQywKmloP,"[('20240914', 726), ('20241010', 533.8)]"
幸福感,幸福啊,561317,6xz-eZIByrdU5mram1f7,"[('20240909', 10837.366105385843), ('20240910', 12919.040858618031), ('20240911', 7295.278774330245), ('20240913', 11465.122720870993), ('20240917', 5841.386692263112), ('20240921', 6925.471823913959), ('20240922', 6506.48438590821), ('20240923', 5130.066598021862), ('20240928', 14133.58097969282), ('20240929', 12958.168417486653), ('20240930', 6149.309777999779), ('20241006', 4975.997619047619), ('20241008', 25338.736889766755), ('20241010', 7174.832825653878)]"
