话题id,话题,热度值,发布视频量,播放量,稿均播放量,话题创建时间,话题时间热度键值对,差分值,趋势
1.65E+15,正向反馈,0,534,6213930,11636,2019/11/20 13:07,"[('20240906', 0), ('20240906', 1402), ('20240907', 792), ('20240907', 0), ('20240908', 823), ('20240908', 0), ('20240909', 321), ('20240910', 0), ('20240910', 181), ('20240911', 134), ('20240912', 135), ('20240912', 0), ('20240913', 100), ('20240913', 0), ('20240914', 111), ('20240914', 0), ('20240915', 129), ('20240915', 0), ('20240916', 103), ('20240917', 137), ('20240917', 0), ('20240918', 89)]",89,整体上升趋势
1.67E+15,人生智慧之道,372,9834,80441838,8179,2020/7/2 1:15,"[('20240906', 98), ('20240907', 282), ('20240908', 331), ('20240909', 224), ('20240910', 335), ('20240911', 321), ('20240912', 178), ('20240913', 150), ('20240913', 0), ('20240914', 120), ('20240915', 123), ('20240916', 149), ('20240917', 105), ('20240918', 133), ('20240919', 187)]",89,整体上升趋势
1.71E+15,屏蔽力,3577,6825,51510973,7547,2021/8/21 4:38,"[('20240906', 128), ('20240907', 140), ('20240908', 140), ('20240909', 98), ('20240910', 199), ('20240911', 178), ('20240912', 139), ('20240913', 116), ('20240914', 121), ('20240915', 121), ('20240916', 139), ('20240917', 1440), ('20240918', 574), ('20240919', 212)]",84,整体上升趋势
1.78E+15,冥想的好处和功效与作用,197,96,517612,5391,2023/10/14 1:40,"[('20240907', 29), ('20240908', 55), ('20240909', 226), ('20240910', 267), ('20240911', 115), ('20240912', 118), ('20240913', 100), ('20240914', 113), ('20240915', 120), ('20240916', 63), ('20240917', 62), ('20240918', 57), ('20240919', 113)]",84,整体上升趋势
1.61E+15,洪兰,341,604,21919351,36290,2018/10/16 2:32,"[('20240906', 31), ('20240906', 0), ('20240907', 156), ('20240907', 0), ('20240908', 29), ('20240909', 22), ('20240909', 0), ('20240910', 39), ('20240911', 60), ('20240912', 74), ('20240913', 210), ('20240914', 112), ('20240915', 60), ('20240916', 71), ('20240917', 100), ('20240918', 106), ('20240919', 109)]",78,整体上升趋势
1.62E+15,不上进,296,289,2381136,8239,2019/1/11 9:37,"[('20240906', 0), ('20240906', 38), ('20240907', 59), ('20240908', 87), ('20240909', 70), ('20240910', 45), ('20240911', 42), ('20240911', 0), ('20240912', 63), ('20240913', 0), ('20240913', 49), ('20240914', 42), ('20240915', 92), ('20240916', 87), ('20240917', 38), ('20240918', 0), ('20240918', 82), ('20240919', 77)]",77,整体上升趋势
1.62E+15,木婉清,1504,7776,292192903,37576,2018/11/11 11:30,"[('20240906', 327), ('20240907', 448), ('20240908', 394), ('20240909', 0), ('20240913', 0), ('20240915', 0), ('20240916', 0), ('20240918', 411), ('20240919', 400)]",73,整体上升趋势
1.59E+15,成功的秘诀,95,3752,35560491,9477,2017/12/13 7:01,"[('20240906', 22), ('20240906', 0), ('20240907', 21), ('20240908', 21), ('20240909', 115), ('20240910', 0), ('20240910', 21), ('20240911', 28), ('20240912', 21), ('20240913', 0), ('20240913', 22), ('20240914', 0), ('20240914', 21), ('20240915', 21), ('20240916', 21), ('20240917', 29), ('20240917', 0), ('20240918', 28), ('20240919', 95)]",73,整体上升趋势
1.75E+15,愿众生平安吉祥2023兔年大吉,413,559576,1218228156,2177,2022/12/25 11:23,"[('20240906', 166), ('20240907', 181), ('20240908', 208), ('20240909', 223), ('20240910', 253), ('20240911', 192), ('20240912', 187), ('20240913', 196), ('20240914', 147), ('20240915', 216), ('20240916', 172), ('20240917', 209), ('20240918', 225), ('20240919', 238)]",72,整体上升趋势
1.63E+15,快速学习,279,933,6868751,7362,2019/4/30 3:52,"[('20240906', 0), ('20240906', 50), ('20240907', 38), ('20240908', 72), ('20240909', 0), ('20240909', 76), ('20240910', 0), ('20240910', 37), ('20240911', 54), ('20240912', 113), ('20240913', 87), ('20240914', 69), ('20240915', 0), ('20240915', 88), ('20240916', 64), ('20240917', 101), ('20240917', 0), ('20240918', 55), ('20240918', 0), ('20240919', 71)]",71,整体上升趋势
1.73E+15,樊老师问答课堂,1057,236,62269480,263853,2022/2/21 8:52,"[('20240906', 583), ('20240907', 626), ('20240908', 623), ('20240909', 629), ('20240910', 626), ('20240911', 595), ('20240912', 555), ('20240913', 599), ('20240914', 502), ('20240915', 443), ('20240916', 516), ('20240917', 702), ('20240918', 608), ('20240919', 653)]",70,整体上升趋势
1.66E+15,真正厉害的女人,487,1141,8010388,7020,2020/2/8 10:24,"[('20240906', 0), ('20240906', 43), ('20240907', 46), ('20240908', 43), ('20240909', 0), ('20240909', 1065), ('20240910', 0), ('20240910', 1400), ('20240911', 0), ('20240911', 379), ('20240912', 212), ('20240912', 0), ('20240913', 191), ('20240914', 0), ('20240914', 69), ('20240915', 86), ('20240915', 0), ('20240916', 110), ('20240916', 0), ('20240917', 89), ('20240918', 0), ('20240918', 104), ('20240919', 70)]",70,整体上升趋势
1.72E+15,戈壁校长,120,683,883483,1293,2022/1/14 10:36,"[('20240906', 39), ('20240907', 46), ('20240908', 63), ('20240909', 57), ('20240910', 78), ('20240911', 90), ('20240912', 73), ('20240913', 98), ('20240914', 90), ('20240915', 41), ('20240916', 89), ('20240917', 39), ('20240918', 87), ('20240919', 107)]",68,整体上升趋势
1.67E+15,贾平凹语录,186,2386,60226466,25241,2020/5/12 20:31,"[('20240906', 39), ('20240907', 90), ('20240908', 149), ('20240909', 144), ('20240910', 89), ('20240911', 40), ('20240912', 80), ('20240913', 42), ('20240914', 57), ('20240915', 39), ('20240916', 103), ('20240917', 116), ('20240917', 0), ('20240918', 608), ('20240919', 106)]",67,整体上升趋势
1.66E+15,情绪的力量,0,248,3554257,14331,2020/1/9 11:54,"[('20240906', 22), ('20240907', 21), ('20240908', 21), ('20240909', 42), ('20240910', 21), ('20240911', 103), ('20240912', 60), ('20240913', 54), ('20240914', 61), ('20240915', 38), ('20240916', 70), ('20240916', 0), ('20240917', 31), ('20240917', 0), ('20240918', 87)]",65,整体上升趋势
1.58E+15,读文,734,18367,44128549,2402,2017/10/29 3:19,"[('20240906', 271), ('20240907', 349), ('20240908', 315), ('20240909', 260), ('20240910', 309), ('20240911', 303), ('20240912', 310), ('20240913', 369), ('20240914', 368), ('20240915', 315), ('20240916', 377), ('20240917', 373), ('20240918', 413), ('20240919', 335)]",64,整体上升趋势
1.73E+15,雌雄同体女老板视角,93,236,22363939,94762,2022/3/25 14:07,"[('20240906', 21), ('20240907', 56), ('20240908', 56), ('20240909', 75), ('20240910', 56), ('20240911', 72), ('20240912', 78), ('20240913', 93), ('20240914', 56), ('20240915', 22), ('20240916', 21), ('20240917', 21), ('20240918', 21), ('20240919', 84)]",63,整体上升趋势
1.61E+15,读大学,2434,2566,65124296,25379,2018/8/22 10:11,"[('20240906', 315), ('20240907', 285), ('20240908', 293), ('20240909', 462), ('20240910', 2281), ('20240911', 1964), ('20240912', 1272), ('20240913', 1223), ('20240914', 477), ('20240915', 431), ('20240916', 318), ('20240917', 234), ('20240918', 281), ('20240919', 374)]",59,整体上升趋势
1.69E+15,sanubar老师,705,129,8245496,63918,2021/2/15 1:05,"[('20240906', 99), ('20240907', 2383), ('20240908', 701), ('20240909', 641), ('20240910', 177), ('20240911', 250), ('20240912', 179), ('20240913', 146), ('20240914', 211), ('20240915', 241), ('20240916', 170), ('20240917', 186), ('20240918', 124), ('20240919', 158)]",59,整体上升趋势
1.65E+15,说话有道,228,220,3596386,16347,2019/10/18 13:03,"[('20240906', 0), ('20240906', 157), ('20240907', 141), ('20240908', 188), ('20240909', 188), ('20240910', 262), ('20240911', 129), ('20240912', 91), ('20240912', 0), ('20240913', 97), ('20240914', 93), ('20240915', 101), ('20240916', 77), ('20240917', 66), ('20240918', 80), ('20240919', 59)]",59,整体上升趋势
1.64E+15,玄虚画派,439,4433,139090299,31376,2019/7/5 10:30,"[('20240906', 326), ('20240907', 325), ('20240908', 420), ('20240909', 376), ('20240910', 366), ('20240911', 408), ('20240912', 362), ('20240913', 285), ('20240914', 322), ('20240915', 269), ('20240916', 364), ('20240917', 328), ('20240918', 336), ('20240919', 384)]",58,整体上升趋势
1.62E+15,俞老师说励志演讲,323,206,24457206,118724,2019/1/30 10:09,"[('20240906', 155), ('20240907', 182), ('20240908', 175), ('20240909', 232), ('20240910', 169), ('20240911', 156), ('20240912', 140), ('20240913', 150), ('20240914', 103), ('20240915', 72), ('20240916', 119), ('20240917', 127), ('20240918', 85), ('20240919', 213)]",58,整体上升趋势
1.60E+15,少生气,2485,19816,265875146,13417,2018/5/25 16:35,"[('20240906', 456), ('20240906', 0), ('20240907', 610), ('20240908', 486), ('20240909', 0), ('20240909', 477), ('20240910', 501), ('20240911', 1250), ('20240912', 631), ('20240913', 463), ('20240914', 558), ('20240915', 523), ('20240915', 0), ('20240916', 627), ('20240917', 372), ('20240918', 433), ('20240919', 513)]",57,整体上升趋势
1.76E+15,杨力虹,208,441,2446251,5547,2023/3/16 13:25,"[('20240906', 99), ('20240907', 62), ('20240908', 46), ('20240909', 152), ('20240910', 155), ('20240911', 121), ('20240912', 103), ('20240913', 93), ('20240914', 135), ('20240915', 72), ('20240916', 78), ('20240917', 165), ('20240918', 159), ('20240919', 156)]",57,整体上升趋势
