话题id,话题,热度值,发布视频量,播放量,稿均播放量,话题创建时间,话题时间热度键值对,差分值,趋势
1589112983224324,渣女,95940,211582,8411787454,39756,2018-01-09 11:10:38,"[('20240906', 10938), ('20240907', 4845), ('20240908', 4553), ('20240909', 6226), ('20240910', 5273), ('20240911', 4382), ('20240912', 4793), ('20240913', 4126), ('20240914', 4893), ('20240915', 4118), ('20240916', 3972), ('20240917', 4337), ('20240918', 4220), ('20240919', 88863)]",77925,整体上升趋势
1638200962944004,情感文案,248451,4009535,27745462483,6919,2019-07-05 07:03:03,"[('20240906', 32460), ('20240907', 31328), ('20240908', 34402), ('20240909', 33714), ('20240910', 27607), ('20240911', 32657), ('20240912', 32911), ('20240913', 31074), ('20240914', 76389), ('20240915', 48961), ('20240916', 36313), ('20240917', 27476), ('20240918', 29022), ('20240919', 123703)]",91243,整体上升趋势
1629349793961996,想你只能看照片,76257,181,5436828,30037,2019-03-29 14:17:31,"[('20240918', 5251), ('20240919', 57840)]",52589,整体上升趋势
1652350074621964,樊晓雯,75226,13,6934132,533394,2019-12-08 11:17:08,"[('20240906', 2245), ('20240907', 3901), ('20240908', 11607), ('20240909', 45952), ('20240910', 44487), ('20240911', 34727), ('20240912', 25107), ('20240913', 31591), ('20240914', 21722), ('20240915', 18441), ('20240916', 11057), ('20240917', 5307), ('20240918', 1793), ('20240919', 1153)]",-1092,整体下降趋势
1597168448310286,爱人先爱己,66350,1604205,4032509848,2513,2018-04-08 09:08:48,"[('20240906', 13362), ('20240907', 9696), ('20240908', 10529), ('20240909', 10170), ('20240910', 12489), ('20240911', 10806), ('20240912', 8792), ('20240913', 11370), ('20240914', 18580), ('20240915', 12047), ('20240916', 10800), ('20240917', 32812), ('20240918', 11965), ('20240919', 13323)]",-39,整体下降趋势
1585052808638478,若无相欠怎会相见,64863,965204,1720874599,1782,2017-11-25 15:35:54,"[('20240906', 7011), ('20240907', 6445), ('20240908', 6328), ('20240909', 6521), ('20240910', 6076), ('20240911', 5268), ('20240912', 6015), ('20240913', 5294), ('20240914', 5414), ('20240915', 6607), ('20240916', 5983), ('20240917', 5868), ('20240918', 41590), ('20240919', 24818)]",17807,整体上升趋势
1628582915160068,情感智慧,63590,157697,1549711388,9827,2019-03-21 03:08:18,"[('20240906', 4669), ('20240907', 3269), ('20240908', 2891), ('20240909', 4773), ('20240910', 11599), ('20240911', 7040), ('20240912', 7126), ('20240913', 15685), ('20240914', 18630), ('20240915', 11656), ('20240916', 11794), ('20240917', 15458), ('20240918', 7443), ('20240919', 3959)]",-710,整体下降趋势
1608195772616712,很现实的一段话,57881,16257984,20522937458,1262,2018-08-08 02:23:24,"[('20240906', 14392), ('20240907', 15551), ('20240908', 13328), ('20240909', 11428), ('20240910', 14145), ('20240911', 12448), ('20240912', 14706), ('20240913', 16211), ('20240914', 12624), ('20240915', 14907), ('20240916', 13905), ('20240917', 18532), ('20240918', 15874), ('20240919', 16231)]",1839,整体上升趋势
1570162538341377,双子座,1066720,6461761,47232001981,7309,2017-06-14 07:01:25,"[('20240906', 143309), ('20240907', 147507), ('20240908', 149295), ('20240909', 153333), ('20240910', 129770), ('20240911', 147974), ('20240912', 188556), ('20240913', 138342), ('20240914', 131986), ('20240915', 145016), ('20240916', 319758), ('20240917', 232777), ('20240918', 196267), ('20240919', 264525)]",121216,整体上升趋势
1640361340305419,内容属实,56564,7286,48684343,6681,2019-07-29 03:21:20,"[('20240906', 77), ('20240907', 124), ('20240908', 39), ('20240909', 21), ('20240911', 21), ('20240911', 0), ('20240912', 21), ('20240913', 21), ('20240914', 111), ('20240915', 96), ('20240916', 43), ('20240917', 68), ('20240918', 42), ('20240919', 56498)]",56421,整体上升趋势
1583967095628813,心态,54825,308503,4328090082,14029,2017-11-13 15:58:57,"[('20240906', 14554), ('20240907', 73067), ('20240908', 210276), ('20240909', 14383), ('20240910', 17505), ('20240911', 16269), ('20240912', 11943), ('20240913', 14286), ('20240914', 13939), ('20240915', 8497), ('20240916', 9371), ('20240917', 12224), ('20240918', 12099), ('20240919', 9970)]",-4584,整体下降趋势
1583067917884494,金句,54171,421546,7364511940,17470,2017-11-03 17:46:54,"[('20240906', 11994), ('20240907', 18370), ('20240908', 24361), ('20240909', 17500), ('20240910', 18186), ('20240911', 13538), ('20240912', 18432), ('20240913', 14676), ('20240914', 12132), ('20240915', 11529), ('20240916', 12156), ('20240917', 11254), ('20240918', 11545), ('20240919', 10472)]",-1522,整体下降趋势
1654986491745288,放下执念,51859,2573834,4716223921,1832,2020-01-06 13:42:00,"[('20240906', 0), ('20240910', 0), ('20240911', 10596), ('20240912', 0), ('20240913', 0), ('20240917', 0), ('20240919', 10012)]",10012,整体上升趋势
1721574624275460,周文强讲人生的感悟,82771,84142,375716767,4465,2022-01-10 13:32:23,"[('20240906', 4881), ('20240907', 3904), ('20240908', 6302), ('20240909', 6524), ('20240910', 5104), ('20240911', 6135), ('20240912', 3289), ('20240913', 6860), ('20240914', 5346), ('20240915', 22887), ('20240916', 2976), ('20240917', 2442), ('20240918', 2211), ('20240919', 56616)]",51735,整体上升趋势
1665412591688715,情感感悟,46370,391556,2783237426,7108,2020-04-30 15:43:41,"[('20240907', 10071), ('20240909', 13231), ('20240910', 0), ('20240911', 0), ('20240912', 35895), ('20240912', 0), ('20240913', 0), ('20240914', 0), ('20240915', 8368), ('20240916', 0), ('20240919', 6215)]",-3856,整体下降趋势
1665688023146520,涓涓细语,45339,1302,169298522,130029,2020-05-03 16:39:07,"[('20240906', 7579), ('20240907', 7667), ('20240908', 12455), ('20240909', 7626), ('20240910', 3235), ('20240911', 3279), ('20240912', 2762), ('20240913', 3915), ('20240914', 9924), ('20240915', 20624), ('20240916', 6757), ('20240917', 6509), ('20240918', 5036), ('20240919', 7982)]",403,整体上升趋势
1590720612600845,静下心来,44809,829692,625433949,753,2018-01-27 05:03:13,"[('20240906', 2519), ('20240907', 2922), ('20240908', 4011), ('20240909', 2386), ('20240910', 2080), ('20240911', 2302), ('20240912', 1921), ('20240913', 19174), ('20240914', 13650), ('20240915', 8175), ('20240916', 6838), ('20240917', 4171), ('20240918', 5040), ('20240919', 3886)]",1367,整体上升趋势
1692955390678024,顶级认知,43281,9890,213264878,21563,2021-02-28 16:04:39,"[('20240906', 23508), ('20240907', 21355), ('20240908', 14615), ('20240909', 12282), ('20240910', 14525), ('20240911', 16629), ('20240912', 11589), ('20240913', 8999), ('20240914', 9746), ('20240915', 11361), ('20240916', 7399), ('20240917', 8695), ('20240918', 11427), ('20240919', 12610)]",-10898,整体下降趋势
1657432314000398,顶级智慧,42863,2517,179420340,71283,2020-02-02 13:37:43,"[('20240906', 23209), ('20240907', 21082), ('20240908', 14255), ('20240909', 11814), ('20240910', 13929), ('20240911', 16107), ('20240912', 11458), ('20240913', 8879), ('20240914', 9643), ('20240915', 11281), ('20240916', 7318), ('20240917', 10323), ('20240918', 12196), ('20240919', 12474)]",-10735,整体下降趋势
1578616549281838,有故事,40588,36390,184540843,5071,2017-09-15 14:34:19,"[('20240906', 521), ('20240907', 415), ('20240908', 713), ('20240909', 512), ('20240910', 419), ('20240911', 641), ('20240912', 403), ('20240913', 526), ('20240914', 676), ('20240915', 23571), ('20240916', 16617), ('20240917', 2147), ('20240918', 2240), ('20240919', 1587)]",1066,整体上升趋势
1560238251840529,做自己,39939,794290,3661478237,4609,2017-02-24 17:59:08,"[('20240906', 24570), ('20240907', 27708), ('20240908', 13002), ('20240909', 12582), ('20240910', 10619), ('20240911', 10895), ('20240912', 9848), ('20240913', 9792), ('20240914', 10400), ('20240915', 12519), ('20240916', 8787), ('20240917', 8098), ('20240918', 7840), ('20240919', 8781)]",-15789,整体下降趋势
1572074249494546,有道理,39238,365681,928554258,2539,2017-07-05 09:27:15,"[('20240906', 4396), ('20240907', 4258), ('20240908', 9377), ('20240909', 17782), ('20240910', 13161), ('20240911', 133984), ('20240912', 47837), ('20240913', 15440), ('20240914', 9238), ('20240915', 6913), ('20240916', 8235), ('20240917', 4804), ('20240918', 4654), ('20240919', 4796)]",400,整体上升趋势
1601218508211214,手段,38876,9468,469944711,49635,2018-05-23 02:02:46,"[('20240906', 3048), ('20240907', 40196), ('20240908', 1108), ('20240909', 6811), ('20240910', 4753), ('20240911', 1689), ('20240912', 1792), ('20240913', 11470), ('20240914', 2737), ('20240915', 12494), ('20240916', 3412), ('20240917', 5448), ('20240918', 10593), ('20240919', 3787)]",739,整体上升趋势
1631145788811277,钟情于你终止于你,132661,1005225,2858750077,2843,2019-04-18 10:04:05,"[('20240906', 19012), ('20240907', 12152), ('20240908', 48142), ('20240909', 82315), ('20240910', 12085), ('20240911', 10026), ('20240912', 10019), ('20240913', 20263), ('20240914', 23512), ('20240915', 25094), ('20240916', 17148), ('20240917', 14169), ('20240918', 14281), ('20240919', 55298)]",36286,整体上升趋势
1594648678688839,独处,37513,210277,1471898459,6999,2018-03-11 13:38:09,"[('20240906', 5153), ('20240907', 4478), ('20240908', 9650), ('20240909', 5588), ('20240910', 5084), ('20240911', 3413), ('20240912', 4186), ('20240913', 6648), ('20240914', 15552), ('20240915', 5619), ('20240916', 6416), ('20240917', 9330), ('20240918', 5359), ('20240919', 5049)]",-104,整体下降趋势
1607285539979271,周文强,301169,536863,19564364026,36442,2018-07-29 01:15:39,"[('20240906', 58935), ('20240907', 52980), ('20240908', 55766), ('20240909', 59353), ('20240910', 64687), ('20240911', 56821), ('20240912', 44710), ('20240913', 49107), ('20240914', 54467), ('20240915', 44540), ('20240916', 51586), ('20240917', 77377), ('20240918', 76664), ('20240919', 91283)]",32348,整体上升趋势
1590666620313613,很久很久,36988,70225,147116441,2094,2018-01-26 14:45:02,"[('20240906', 647), ('20240907', 441), ('20240908', 674), ('20240909', 484), ('20240910', 556), ('20240911', 321), ('20240912', 390), ('20240913', 613), ('20240914', 554), ('20240915', 319), ('20240916', 303), ('20240917', 267), ('20240918', 10704), ('20240919', 28315)]",27668,整体上升趋势
1707763578525707,分享欲是最高级的浪漫,204207,24289,252430773,10392,2021-08-11 02:51:36,"[('20240906', 322), ('20240907', 414), ('20240908', 605), ('20240909', 347), ('20240910', 274), ('20240911', 255), ('20240912', 5610), ('20240913', 8552), ('20240914', 8250), ('20240915', 14203), ('20240916', 105052), ('20240917', 49424), ('20240918', 4048), ('20240919', 53631)]",53309,整体上升趋势
1584761020123150,心里的那个人,141845,1443968,6672154980,4620,2017-11-22 10:18:03,"[('20240906', 20994), ('20240907', 20262), ('20240908', 15074), ('20240909', 22132), ('20240910', 17107), ('20240911', 15733), ('20240912', 11354), ('20240913', 10722), ('20240914', 13919), ('20240915', 22986), ('20240916', 27463), ('20240917', 40794), ('20240918', 20376), ('20240919', 55597)]",34603,整体上升趋势
1595207412241411,治愈语录,83524,1161533,5394389335,4644,2018-03-17 17:38:58,"[('20240906', 7035), ('20240907', 19360), ('20240908', 20222), ('20240909', 20139), ('20240910', 12854), ('20240911', 11048), ('20240912', 12901), ('20240913', 9986), ('20240914', 7805), ('20240915', 14214), ('20240916', 6364), ('20240917', 6229), ('20240918', 16517), ('20240919', 51239)]",44204,整体上升趋势
1664728493281287,伤感文案馆💔,34921,1746898,7193291756,4117,2020-04-23 02:27:44,"[('20240906', 5795), ('20240907', 8297), ('20240908', 7534), ('20240909', 5672), ('20240910', 7526), ('20240911', 6536), ('20240912', 6172), ('20240913', 6047), ('20240914', 6859), ('20240915', 6261), ('20240916', 11473), ('20240917', 12596), ('20240918', 6067), ('20240919', 7836)]",2041,整体上升趋势
1592282373251092,结婚誓词,34520,858,30678451,35755,2018-02-13 10:46:44,"[('20240906', 84), ('20240907', 64), ('20240908', 74), ('20240909', 88), ('20240910', 44), ('20240911', 87), ('20240912', 72), ('20240913', 50), ('20240914', 89), ('20240915', 60), ('20240916', 69), ('20240917', 48), ('20240918', 75), ('20240919', 34480)]",34396,整体上升趋势
1587405822310430,情感话题,157342,690909,6609485527,9566,2017-12-21 14:56:02,"[('20240906', 17798), ('20240907', 46035), ('20240908', 42451), ('20240909', 22994), ('20240910', 24726), ('20240911', 19157), ('20240912', 37343), ('20240913', 21251), ('20240914', 16573), ('20240915', 16275), ('20240916', 21970), ('20240917', 21801), ('20240918', 46997), ('20240919', 74020)]",56222,整体上升趋势
7321379755243898914,girlstoshine,33184,36,9394170,260949,2024-01-07 15:33:12,"[('20240906', 3755), ('20240907', 4127), ('20240908', 5944), ('20240909', 5267), ('20240910', 7682), ('20240911', 5346), ('20240912', 3640), ('20240913', 2959), ('20240914', 1716), ('20240915', 1788), ('20240916', 9832), ('20240917', 6162), ('20240918', 12769), ('20240919', 6566)]",2811,整体上升趋势
1696902177711117,这辈子你会嫁给谁,32707,11187,113943906,10185,2021-04-13 05:36:09,"[('20240906', 47), ('20240907', 41), ('20240908', 42), ('20240909', 146), ('20240910', 58), ('20240911', 77), ('20240912', 25), ('20240913', 74), ('20240914', 38), ('20240915', 0), ('20240915', 22), ('20240916', 39), ('20240917', 22), ('20240918', 19155), ('20240919', 16378)]",16331,整体上升趋势
1608693955421262,底气,32532,26456,351748775,13295,2018-08-13 14:21:48,"[('20240906', 6765), ('20240907', 3761), ('20240908', 5056), ('20240909', 4296), ('20240910', 3774), ('20240911', 4921), ('20240912', 4902), ('20240913', 2720), ('20240914', 3489), ('20240915', 2636), ('20240916', 10221), ('20240917', 8295), ('20240918', 8173), ('20240919', 5830)]",-935,整体下降趋势
1603236603026445,情感录音,32474,38997,411402754,10549,2018-06-14 08:39:31,"[('20240906', 330), ('20240907', 314), ('20240908', 234), ('20240909', 904), ('20240910', 267), ('20240911', 199), ('20240912', 216), ('20240913', 593), ('20240914', 730), ('20240915', 356), ('20240916', 455), ('20240917', 29558), ('20240918', 3245), ('20240919', 633)]",303,整体上升趋势
1589388342047752,与君共勉,31718,967717,2138545207,2209,2018-01-12 12:07:21,"[('20240906', 5543), ('20240907', 5955), ('20240908', 5377), ('20240909', 7684), ('20240910', 7337), ('20240911', 6315), ('20240912', 5870), ('20240913', 5529), ('20240914', 5976), ('20240915', 13306), ('20240916', 6013), ('20240916', 0), ('20240917', 6464), ('20240918', 7647), ('20240919', 4774)]",-769,整体下降趋势
7352519551461885992,爱的第一页爱自己,31656,603,4614588,7652,2024-03-31 13:31:36,"[('20240906', 22), ('20240907', 1016), ('20240908', 1084), ('20240909', 1851), ('20240910', 1647), ('20240911', 2503), ('20240912', 71184), ('20240913', 8354), ('20240914', 12500), ('20240915', 13259), ('20240916', 5998), ('20240917', 4516), ('20240918', 5284), ('20240919', 2415)]",2393,整体上升趋势
7411846229165869092,我想成为什么这很难讲,31316,11195,51532095,4603,2024-09-07 10:29:25,"[('20240907', 24), ('20240908', 129), ('20240909', 14374), ('20240910', 61957), ('20240911', 70879), ('20240912', 20570), ('20240913', 9756), ('20240914', 8850), ('20240915', 8596), ('20240916', 5208), ('20240917', 4088), ('20240918', 3352), ('20240919', 2094)]",2070,整体上升趋势
1621809938653198,说出了多少女人的心酸,31141,347129,4329005388,12470,2019-01-05 08:54:45,"[('20240906', 13188), ('20240907', 10756), ('20240908', 9322), ('20240909', 8345), ('20240910', 12540), ('20240911', 6110), ('20240912', 7956), ('20240913', 10101), ('20240914', 9780), ('20240915', 7847), ('20240916', 5428), ('20240917', 4543), ('20240918', 6843), ('20240919', 5665)]",-7523,整体下降趋势
1580602608638989,知足常乐,30913,994959,3879428760,3899,2017-10-07 12:41:52,"[('20240906', 8503), ('20240907', 6417), ('20240908', 5401), ('20240909', 8890), ('20240910', 8475), ('20240911', 6861), ('20240912', 6438), ('20240913', 5963), ('20240914', 5627), ('20240915', 4796), ('20240916', 8168), ('20240917', 11776), ('20240918', 8484), ('20240919', 7824)]",-679,整体下降趋势
1705354926966792,infj型人格,30215,16121,424995885,26362,2021-07-15 12:47:55,"[('20240906', 1218), ('20240907', 1300), ('20240908', 1307), ('20240909', 1303), ('20240910', 1136), ('20240911', 1089), ('20240912', 1114), ('20240913', 1343), ('20240914', 1371), ('20240915', 1295), ('20240916', 1563), ('20240917', 1334), ('20240918', 16247), ('20240919', 13967)]",12749,整体上升趋势
1767587360117837,女人情感话题,30163,106312,1963496061,18469,2023-06-02 10:44:52,"[('20240906', 5214), ('20240907', 5150), ('20240908', 5151), ('20240909', 0), ('20240910', 0), ('20240911', 0), ('20240914', 8091), ('20240916', 0), ('20240917', 5224), ('20240918', 0), ('20240919', 4953)]",-261,整体下降趋势
1749512399662092,愿我的祝福你能听得见,29940,1302,10617305,8154,2022-11-14 22:32:15,"[('20240906', 0), ('20240906', 29), ('20240907', 46), ('20240908', 42), ('20240909', 5590), ('20240910', 4073), ('20240911', 3424), ('20240912', 1569), ('20240913', 768), ('20240914', 7662), ('20240915', 9235), ('20240916', 7943), ('20240917', 8396), ('20240918', 1554), ('20240919', 1074)]",1074,整体上升趋势
1569302679426049,情话,29372,393877,15157640598,38483,2017-06-04 19:14:20,"[('20240906', 12818), ('20240907', 10955), ('20240908', 10863), ('20240909', 8956), ('20240910', 10219), ('20240911', 9453), ('20240912', 8716), ('20240913', 10105), ('20240914', 8334), ('20240915', 7766), ('20240916', 7016), ('20240917', 6868), ('20240918', 7627), ('20240919', 12467)]",-351,整体下降趋势
1712782603222028,同频共振的人是会互相吸引的,29330,353424,1162735160,3289,2021-10-05 12:30:27,"[('20240906', 5361), ('20240907', 4437), ('20240908', 4872), ('20240909', 4918), ('20240910', 3640), ('20240911', 3287), ('20240912', 4875), ('20240913', 11013), ('20240914', 5750), ('20240915', 4731), ('20240916', 4063), ('20240917', 4634), ('20240918', 8095), ('20240919', 7074)]",1713,整体上升趋势
1586845112285198,欲望,27636,53468,1285677975,24045,2017-12-15 10:23:48,"[('20240906', 5084), ('20240907', 4267), ('20240908', 5077), ('20240909', 4897), ('20240910', 3417), ('20240911', 4350), ('20240912', 2385), ('20240913', 4378), ('20240914', 3653), ('20240915', 4502), ('20240916', 12836), ('20240917', 4701), ('20240918', 4409), ('20240919', 3728)]",-1356,整体下降趋势
1646094191785995,励志文案,27606,355860,3346910890,9405,2019-09-30 10:02:33,"[('20240906', 8590), ('20240907', 9381), ('20240908', 12571), ('20240909', 9726), ('20240910', 8369), ('20240911', 8244), ('20240912', 9069), ('20240913', 7922), ('20240914', 7452), ('20240915', 6977), ('20240916', 9010), ('20240917', 8621), ('20240918', 7402), ('20240919', 7078)]",-1512,整体下降趋势
1624716961371139,看人识人,27075,70850,1349345871,19045,2019-02-06 11:00:38,"[('20240906', 4012), ('20240907', 3295), ('20240908', 3457), ('20240909', 4893), ('20240910', 3846), ('20240911', 4961), ('20240912', 7913), ('20240913', 4190), ('20240914', 3041), ('20240915', 7819), ('20240916', 8819), ('20240917', 5385), ('20240918', 6016), ('20240919', 5173)]",1161,整体上升趋势
1576545509073933,新鲜感,26746,111257,1732398711,15571,2017-08-23 17:56:01,"[('20240906', 1654), ('20240907', 3451), ('20240908', 4641), ('20240909', 3940), ('20240910', 3186), ('20240911', 4423), ('20240912', 5601), ('20240913', 6625), ('20240914', 6234), ('20240915', 4934), ('20240916', 6209), ('20240917', 4787), ('20240918', 0), ('20240918', 4009), ('20240919', 3354)]",1700,整体上升趋势
1601900318550020,李娟,26383,23458,505788985,21561,2018-05-30 14:39:51,"[('20240906', 12193), ('20240907', 7489), ('20240908', 7329), ('20240909', 9702), ('20240910', 13764), ('20240911', 16028), ('20240912', 7847), ('20240913', 6542), ('20240914', 5651), ('20240915', 5348), ('20240916', 5228), ('20240917', 5158), ('20240918', 5595), ('20240919', 4876)]",-7317,整体下降趋势
1693354959185928,人品胜于一切,26243,733464,2653294891,3617,2021-03-05 01:52:20,"[('20240906', 29145), ('20240907', 7226), ('20240908', 7090), ('20240909', 5552), ('20240910', 5218), ('20240911', 4611), ('20240912', 5900), ('20240913', 5777), ('20240914', 6767), ('20240915', 5282), ('20240916', 5465), ('20240917', 6025), ('20240918', 6434), ('20240919', 8370)]",-20775,整体下降趋势
1617796922773517,修复挽回,25987,734282,4388516300,5976,2018-11-22 01:49:34,"[('20240907', 7917), ('20240908', 0), ('20240909', 0), ('20240918', 0), ('20240919', 6109)]",-1808,整体下降趋势
1588308345108488,你身边有这样的人吗,25962,4825,94529549,19591,2017-12-31 14:01:15,"[('20240906', 32), ('20240907', 131), ('20240908', 67), ('20240909', 63), ('20240910', 55), ('20240911', 66), ('20240912', 43), ('20240913', 56), ('20240914', 22), ('20240915', 22), ('20240916', 14839), ('20240917', 9432), ('20240918', 3613), ('20240919', 1833)]",1801,整体上升趋势
1583184217424973,共勉,25947,338574,2394640817,7072,2017-11-05 00:35:26,"[('20240906', 1474), ('20240907', 1959), ('20240908', 1543), ('20240909', 2006), ('20240910', 2382), ('20240911', 2134), ('20240912', 2422), ('20240913', 1433), ('20240914', 1464), ('20240915', 2863), ('20240916', 6771), ('20240917', 16062), ('20240918', 3719), ('20240919', 1729)]",255,整体上升趋势
1638465695246347,3d无漆木门全屋定制,24225,6363,299184769,47019,2019-07-08 05:10:52,"[('20240906', 3270), ('20240907', 3807), ('20240908', 3601), ('20240909', 3934), ('20240910', 4106), ('20240911', 3290), ('20240912', 7420), ('20240913', 5079), ('20240914', 4508), ('20240915', 4142), ('20240916', 3969), ('20240917', 6439), ('20240918', 6409), ('20240919', 5105)]",1835,整体上升趋势
1600499063405572,思维提升,23856,18697,246924809,13206,2018-05-15 03:27:30,"[('20240906', 1863), ('20240907', 11159), ('20240908', 12653), ('20240909', 3911), ('20240910', 1428), ('20240911', 1725), ('20240912', 1374), ('20240913', 1227), ('20240914', 991), ('20240915', 866), ('20240916', 1395), ('20240917', 1881), ('20240918', 807), ('20240919', 20643)]",18780,整体上升趋势
1793128811741195,爱自己是女生永恒的命题,23506,38871,185141050,4762,2024-03-10 08:55:58,"[('20240906', 7695), ('20240907', 5552), ('20240908', 5867), ('20240909', 6147), ('20240910', 6064), ('20240911', 9609), ('20240912', 12197), ('20240913', 9889), ('20240914', 7575), ('20240915', 5113), ('20240916', 4789), ('20240917', 780), ('20240918', 546), ('20240919', 519)]",-7176,整体下降趋势
1582352239079437,清醒,226982,195473,5140113787,26295,2017-10-26 20:11:30,"[('20240906', 106125), ('20240907', 67629), ('20240908', 61073), ('20240909', 58417), ('20240910', 77912), ('20240911', 95333), ('20240912', 20533), ('20240913', 58535), ('20240914', 100037), ('20240915', 21735), ('20240916', 19866), ('20240917', 23475), ('20240918', 18067), ('20240919', 50455)]",-55670,整体下降趋势
